contents_id	contents_name	raw_events	uniq_events	uniq_users	first_ts	last_ts
4c74dcfeac90df69aed5c8a90125e696	R6_GW中の課題	53545	36317	124	2024-04-29 21:10:40.000	2025-03-18 07:14:29.000
61b1fb3f59e28c67f3925f3c79be81a1	レインボーブリッジと絵馬（宿題）	72098	36049	40	2019-11-08 01:50:38.000	2020-02-26 15:10:09.000
8485ae387a981d783f8764e508151cd9	数学12(3-④)	70859	35433	119	2020-05-21 08:26:39.000	2024-07-29 04:06:58.000
234a6ee536186392b71447484e3d1dbd	No40(0303)タッチペン	68893	35037	101	2025-03-04 08:16:06.000	2025-03-18 00:29:59.000
57b33ae6c0bf00c454900bea31d88893	No.20(1002)タッチペン	69862	34932	114	2024-10-01 09:53:53.000	2024-12-08 04:41:34.000
060afc8a563aaccd288f98b7c8723b61	演習（工夫した計算２）	69574	34788	116	2021-01-06 11:39:14.000	2022-07-30 12:43:09.493
ee39e503b6bedf0c98c388b7e8589aca	0115自宅学習課題03	69515	34761	117	2021-01-14 02:49:50.000	2023-08-29 01:10:07.000
e51ada1e23f810eb1b51a18bb6825f85	R6.No.17(1223)	68372	34714	114	2024-12-18 05:02:38.000	2025-08-28 05:31:59.000
9ceee7501ba30946fab8728aec06a9f5	未来へひろがる数学1	68966	34496	44	2021-04-05 07:43:15.000	2022-03-02 00:35:40.000
74707d064c4eeda12c3bf2f1807a7198	04(0517)	68866	34481	112	2024-04-24 05:59:22.000	2024-11-29 02:07:15.000
d768f8ec110b0207ba7a209f7975fbb1	青チャート数A 第4章 数学と人間の活動 (問＆解答)	38322	34254	175	2022-04-05 01:32:22.000	2025-09-29 06:09:24.000
319e33a217f7368ff7ceef7731ccf024	サクセスコーチ英語1年（本文）	56676	33781	99	2024-06-10 04:37:33.000	2026-02-10 07:06:23.000
ecd62de20ea67e1c2d933d311b08178a	絶対値と不等式＜宿題＞	67392	33696	38	2019-11-01 04:22:19.000	2019-11-26 23:37:38.000
d54ce9de9df77c579775a7b6b1a4bdc0	数学2(1-②)	67073	33580	129	2020-05-07 01:43:31.000	2023-12-31 15:56:25.000
63d5fb54a858dd033fe90e6e4a74b0f0	改［STEP中3］第3章 2次方程式	51500	33298	277	2021-06-30 04:10:06.000	2025-12-22 16:55:43.000
2e9f978b222a956ba6bdf427efbd9ab3	１年数SMonday確認テストNo24（2/8実施分）	66540	33270	112	2021-02-07 21:29:58.000	2025-01-30 01:41:27.000
1bd4b29a8e0afccd9923fe29cecb4b29	シリウス21発展中2	66396	33198	98	2020-04-10 00:00:20.000	2021-11-25 12:46:45.000
fc03d48253286a798f5116ec00e99b2b	(A1) eGCR. MA.1-1-A New Girl in School	58869	33099	705	2020-04-13 09:09:54.000	2024-10-18 11:32:00.000
450f22a64f9498b7866afc9cb4437328	R6_1年冬休みの演習課題	57612	33024	128	2024-12-09 19:52:28.000	2025-12-23 11:15:28.000
b147a61c1d07c1c999560f62add6dbc7	サクシード数Ⅰ_第１章 数と式	65910	32956	45	2019-10-16 06:31:15.000	2022-06-29 02:35:44.000
0f65caf0a7d00afd2b87c028e88fe931	1217三角関数テスト	65859	32930	43	2020-12-16 10:27:21.000	2022-06-22 02:22:24.000
9680c4b2639ed223c2793005f0048418	R6.No.18(0127)	59913	32912	118	2025-01-23 01:37:20.000	2026-01-05 07:16:27.000
5d78d182fd5f5510588695863d22ac27	１年数SMonday確認テストNo25（2/22実施分）	65478	32740	110	2021-02-20 01:32:37.000	2025-01-30 01:41:41.000
a58616464d14208b2677a084f5d7456f	夏休み課題	65424	32712	119	2020-07-29 01:35:36.000	2021-07-19 02:10:39.000
300d1539c3b6aa1793b5678b857732cf	数学15(4-③)	65420	32711	119	2020-05-29 02:50:51.000	2023-09-22 00:44:50.000
5898493fbdf4a44a24084021b2215f85	0514_03正の数負の数(魔法陣・部分分数分解)	65249	32652	120	2024-05-13 10:01:44.000	2025-11-02 10:20:10.000
f334c47648f6c8f9eb0bc8c416f217a2	No.1(0419)	54127	32649	40	2024-04-16 07:22:44.000	2024-05-16 23:27:46.000
